unitlocation,ttimestamplocal,power,windspeed,airdensity,amb_temp,nac_direction,blds_pitchangle,rtr_rpm,gen_rpm,wtg_state
WTG01,01-06-13 0:00,964.5,9.1,1.162127,27,61.8,-3,14.1,1305,ok
WTG01,01-06-13 0:10,1025.1,9.6,1.162127,27,61.8,-3.1,14.4,1336,ok
WTG01,01-06-13 0:20,1179.7,9.6,1.162127,27,61.8,-2.9,14.4,1330,ok
WTG01,01-06-13 0:30,1754.5,11.2,1.162127,27,65.2,-1.5,14.5,1345,ok
WTG01,01-06-13 0:40,1826.8,11.4,1.162127,27,66.6,-1.3,14.5,1344,ok
WTG01,01-06-13 0:50,1686.9,10.9,1.162127,27,70.7,-1.5,14.5,1344,ok
WTG01,01-06-13 1:00,1296,10.3,1.162127,27,70,-2.7,14.5,1342,ok
WTG01,01-06-13 1:10,1021.4,9.1,1.162127,27,59.8,-2.6,13.8,1274,ok
WTG01,01-06-13 1:20,1465,10.5,1.162127,27,67.1,-2.3,14.5,1343,ok
WTG01,01-06-13 1:30,1609,11,1.162127,27,68.4,-2,14.5,1343,ok
WTG01,01-06-13 1:40,1904,12.1,1.162127,27,73.6,0.4,14.5,1345,ok
WTG01,01-06-13 1:50,1920.5,12.1,1.162127,27,79,-0.7,14.5,1344,ok
WTG01,01-06-13 2:00,1703.6,11.3,1.162127,27,79.1,-1.8,14.5,1345,ok
WTG01,01-06-13 2:10,1528.6,10.8,1.162127,27,76.8,-2,14.5,1340,ok
WTG01,01-06-13 2:20,1467.7,10.3,1.162127,27,71.7,-2.4,14.5,1340,ok
WTG01,01-06-13 2:30,1490.1,10.9,1.162127,27,71.7,-2.4,14.5,1344,ok
WTG01,01-06-13 2:40,1716.2,11,1.162127,27,71.7,-1.9,14.5,1344,ok
WTG01,01-06-13 2:50,1621.7,10.7,1.162127,27,71.7,-2.1,14.5,1344,ok
WTG01,01-06-13 3:00,1257.6,10.3,1.162127,27,71.7,-3,14.5,1344,ok
WTG01,01-06-13 3:10,1160,10,1.162127,27,65.6,-3.1,14.5,1342,ok
WTG01,01-06-13 3:20,1048.9,9.5,1.162127,27,64.4,-3,14.4,1330,ok
WTG01,01-06-13 3:30,937.3,9.4,1.162127,27,64.3,-3.1,14.4,1335,ok
WTG01,01-06-13 3:40,1413.4,10.4,1.162127,27,64.4,-2.6,14.5,1344,ok
WTG01,01-06-13 3:50,1480.2,10.3,1.162127,27,64.4,-2.4,14.5,1342,ok
WTG01,01-06-13 4:00,1239.3,9.9,1.162127,27,65.5,-2.8,14.5,1338,ok
WTG01,01-06-13 4:10,1699.5,11.4,1.162127,27,71.7,-1.9,14.5,1344,ok
WTG01,01-06-13 4:20,852.6,8.8,1.162127,27,63,-2.9,13.9,1287,ok
WTG01,01-06-13 4:30,831.6,8.4,1.162127,27,55.6,-2.8,13.8,1273,ok
WTG01,01-06-13 4:40,981.7,8.8,1.162127,27,55.6,-2.9,14.1,1303,ok
